Product,Age,Gender,Education,MaritalStatus,Usage,Fitness,Income,Miles,Age_Bins,Miles_Bins,Income_Bins
TM195,28,Female,14,Partnered,3,3,54576,94,21-30,51-100,51k-100k
TM195,28,Female,16,Partnered,3,3,51165,56,21-30,51-100,51k-100k
TM195,29,Male,18,Partnered,3,3,68220,85,21-30,51-100,51k-100k
TM195,29,Female,16,Partnered,4,3,50028,94,21-30,51-100,51k-100k
TM195,30,Male,14,Single,3,3,54576,85,21-30,51-100,51k-100k
TM195,32,Male,14,Partnered,4,3,52302,85,31-40,51-100,51k-100k
TM195,33,Female,16,Partnered,3,3,46617,85,31-40,51-100,0-50k
TM195,35,Male,16,Partnered,4,3,48891,85,31-40,51-100,0-50k
TM195,35,Female,16,Partnered,3,3,60261,94,31-40,51-100,51k-100k
TM195,35,Female,18,Single,3,3,67083,85,31-40,51-100,51k-100k
TM195,36,Male,12,Single,4,3,44343,94,31-40,51-100,0-50k
TM195,37,Female,16,Partnered,3,3,37521,85,31-40,51-100,0-50k
TM195,38,Male,16,Partnered,3,3,46617,75,31-40,51-100,0-50k
TM195,38,Female,14,Partnered,2,3,54576,56,31-40,51-100,51k-100k
TM195,38,Male,14,Single,2,3,52302,56,31-40,51-100,51k-100k
TM195,38,Male,16,Partnered,3,3,56850,75,31-40,51-100,51k-100k
TM195,40,Male,16,Partnered,3,3,61398,66,31-40,51-100,51k-100k
TM195,43,Male,16,Partnered,3,3,53439,66,41-50,51-100,51k-100k
TM195,47,Male,16,Partnered,4,3,56850,94,41-50,51-100,51k-100k
TM195,50,Female,16,Partnered,3,3,64809,66,41-50,51-100,51k-100k
TM498,19,Male,14,Single,3,3,31836,64,18-20,51-100,0-50k
TM498,20,Male,14,Single,2,3,32973,53,18-20,51-100,0-50k
TM498,20,Male,14,Single,3,3,38658,95,18-20,51-100,0-50k
TM498,23,Male,14,Partnered,3,3,36384,95,21-30,51-100,0-50k
TM498,23,Male,14,Partnered,3,3,38658,85,21-30,51-100,0-50k
TM498,23,Female,16,Single,3,3,45480,95,21-30,51-100,0-50k
TM498,23,Male,16,Partnered,3,3,45480,64,21-30,51-100,0-50k
TM498,25,Female,14,Partnered,2,3,45480,85,21-30,51-100,0-50k
TM498,25,Male,14,Single,3,3,45480,95,21-30,51-100,0-50k
TM498,25,Female,14,Single,2,3,43206,64,21-30,51-100,0-50k
TM498,25,Male,16,Partnered,2,3,50028,53,21-30,51-100,51k-100k
TM498,26,Female,16,Partnered,4,3,45480,85,21-30,51-100,0-50k
TM498,29,Female,14,Partnered,3,3,51165,95,21-30,51-100,51k-100k
TM498,30,Female,14,Single,3,3,57987,74,21-30,51-100,51k-100k
TM498,31,Male,16,Partnered,3,3,52302,95,31-40,51-100,51k-100k
TM498,31,Female,16,Partnered,2,3,51165,64,31-40,51-100,51k-100k
TM498,32,Male,16,Partnered,3,3,53439,95,31-40,51-100,51k-100k
TM498,33,Female,16,Partnered,2,3,50028,85,31-40,51-100,51k-100k
TM498,33,Male,16,Partnered,3,3,51165,95,31-40,51-100,51k-100k
TM498,33,Female,16,Partnered,5,3,53439,95,31-40,51-100,51k-100k
TM498,34,Female,16,Partnered,4,3,64809,95,31-40,51-100,51k-100k
TM498,34,Male,15,Single,3,3,67083,85,31-40,51-100,51k-100k
TM498,35,Male,16,Partnered,3,3,53439,95,31-40,51-100,51k-100k
TM498,37,Female,16,Partnered,2,3,48891,85,31-40,51-100,0-50k
TM498,38,Female,16,Partnered,4,3,62535,85,31-40,51-100,51k-100k
TM498,40,Female,16,Partnered,3,3,61398,85,31-40,51-100,51k-100k
TM498,40,Female,16,Single,3,3,57987,85,31-40,51-100,51k-100k
TM498,40,Male,16,Partnered,3,3,64809,95,31-40,51-100,51k-100k
TM498,48,Male,16,Partnered,2,3,57987,64,41-50,51-100,51k-100k
TM798,25,Male,18,Partnered,4,3,64741,100,21-30,51-100,51k-100k
TM798,26,Female,21,Single,4,3,69721,100,21-30,51-100,51k-100k
TM798,27,Male,18,Single,4,3,88396,100,21-30,51-100,51k-100k
TM195,23,Female,14,Single,2,3,34110,103,21-30,101-150,0-50k
TM195,23,Female,16,Single,4,3,38658,113,21-30,101-150,0-50k
TM195,23,Male,14,Single,4,3,38658,113,21-30,101-150,0-50k
TM195,24,Male,14,Single,2,3,45480,113,21-30,101-150,0-50k
TM195,26,Female,16,Partnered,4,3,52302,113,21-30,101-150,51k-100k
TM195,28,Male,14,Single,3,3,52302,103,21-30,101-150,51k-100k
TM195,28,Male,14,Single,4,3,54576,113,21-30,101-150,51k-100k
TM195,41,Male,16,Partnered,4,3,54576,103,41-50,101-150,51k-100k
TM498,20,Female,14,Partnered,3,3,34110,106,18-20,101-150,0-50k
TM498,23,Male,16,Partnered,4,3,45480,127,21-30,101-150,0-50k
TM498,24,Female,16,Single,3,3,50028,106,21-30,101-150,51k-100k
TM498,25,Female,14,Partnered,5,3,47754,106,21-30,101-150,0-50k
TM498,25,Male,14,Partnered,4,3,45480,170,21-30,151-200,0-50k
TM498,25,Male,14,Single,4,3,48891,127,21-30,101-150,0-50k
TM498,26,Male,16,Single,4,3,51165,106,21-30,101-150,51k-100k
TM498,30,Female,13,Single,4,3,46617,106,21-30,101-150,0-50k
TM498,32,Male,16,Single,4,3,60261,127,31-40,101-150,51k-100k
TM498,38,Male,16,Partnered,3,3,59124,106,31-40,101-150,51k-100k
TM798,22,Male,14,Single,4,3,48658,106,21-30,101-150,0-50k
TM195,18,Male,14,Single,3,4,29562,112,18-20,101-150,0-50k
TM195,20,Male,13,Partnered,4,2,35247,47,18-20,0-50,0-50k
TM195,21,Male,15,Single,5,4,35247,141,21-30,101-150,0-50k
TM195,22,Female,14,Partnered,3,2,35247,66,21-30,51-100,0-50k
TM195,23,Male,16,Partnered,3,1,38658,47,21-30,0-50,0-50k
TM195,23,Female,15,Partnered,2,2,34110,38,21-30,0-50,0-50k
TM195,24,Female,16,Partnered,5,5,44343,188,21-30,151-200,0-50k
TM195,24,Male,13,Partnered,3,2,42069,47,21-30,0-50,0-50k
TM195,25,Female,14,Partnered,2,2,53439,47,21-30,0-50,51k-100k
TM195,25,Male,16,Single,3,4,40932,113,21-30,101-150,0-50k
TM195,25,Female,16,Partnered,2,2,40932,47,21-30,0-50,0-50k
TM195,26,Female,14,Partnered,3,4,44343,113,21-30,101-150,0-50k
TM195,26,Male,16,Partnered,2,2,53439,47,21-30,0-50,51k-100k
TM195,26,Male,16,Partnered,4,4,44343,132,21-30,101-150,0-50k
TM195,27,Female,14,Partnered,3,2,45480,66,21-30,51-100,0-50k
TM195,29,Female,14,Partnered,2,2,46617,38,21-30,0-50,0-50k
TM195,30,Male,14,Partnered,4,4,46617,141,21-30,101-150,0-50k
TM195,31,Male,14,Partnered,2,2,54576,47,31-40,0-50,51k-100k
TM195,31,Female,14,Single,2,2,45480,47,31-40,0-50,0-50k
TM195,32,Female,14,Single,3,4,46617,113,31-40,101-150,0-50k
TM195,33,Female,16,Single,2,2,55713,38,31-40,0-50,51k-100k
TM195,34,Male,16,Single,4,5,51165,169,31-40,151-200,51k-100k
TM195,34,Female,16,Single,2,2,52302,66,31-40,51-100,51k-100k
TM195,39,Male,16,Partnered,4,4,59124,132,31-40,101-150,51k-100k
TM195,44,Female,16,Single,3,4,57987,75,41-50,51-100,51k-100k
TM195,46,Female,16,Partnered,3,2,60261,47,41-50,0-50,51k-100k
TM498,21,Female,14,Partnered,5,4,34110,212,21-30,201-250,0-50k
TM498,21,Male,16,Partnered,2,2,34110,42,21-30,0-50,0-50k
TM498,21,Male,12,Partnered,2,2,32973,53,21-30,51-100,0-50k
TM498,23,Female,16,Partnered,3,2,43206,74,21-30,51-100,0-50k
TM498,23,Female,14,Single,3,2,40932,53,21-30,51-100,0-50k
TM498,24,Female,14,Single,3,2,40932,85,21-30,51-100,0-50k
TM498,24,Male,14,Single,3,4,48891,106,21-30,101-150,0-50k
TM498,25,Female,14,Single,3,4,43206,127,21-30,101-150,0-50k
TM498,25,Male,16,Partnered,2,2,52302,42,21-30,0-50,51k-100k
TM498,25,Male,14,Partnered,3,4,43206,106,21-30,101-150,0-50k
TM498,25,Female,14,Single,2,2,45480,42,21-30,0-50,0-50k
TM498,26,Female,16,Single,4,4,50028,127,21-30,101-150,51k-100k
TM498,27,Male,14,Single,4,2,45480,53,21-30,51-100,0-50k
TM498,31,Female,18,Single,2,1,65220,21,31-40,0-50,51k-100k
TM498,33,Male,13,Partnered,4,4,53439,170,31-40,151-200,51k-100k
TM498,33,Female,18,Single,3,4,47754,74,31-40,51-100,0-50k
TM498,34,Male,16,Partnered,3,4,59124,85,31-40,51-100,51k-100k
TM498,35,Female,14,Partnered,3,2,52302,53,31-40,51-100,51k-100k
TM498,35,Male,16,Partnered,3,2,53439,53,31-40,51-100,51k-100k
TM498,35,Female,16,Single,3,2,50028,64,31-40,51-100,51k-100k
TM498,45,Male,16,Partnered,2,2,54576,42,41-50,0-50,51k-100k
TM798,22,Male,16,Single,3,5,54781,120,21-30,101-150,51k-100k
TM798,22,Male,18,Single,4,5,48556,200,21-30,151-200,0-50k
TM798,23,Male,16,Single,4,5,58516,140,21-30,101-150,51k-100k
TM798,23,Female,18,Single,5,4,53536,100,21-30,51-100,51k-100k
TM798,23,Male,16,Single,4,5,48556,100,21-30,51-100,0-50k
TM798,24,Male,16,Single,4,5,61006,100,21-30,51-100,51k-100k
TM798,24,Male,18,Partnered,4,5,57271,80,21-30,51-100,51k-100k
TM798,24,Female,16,Single,5,5,52291,200,21-30,151-200,51k-100k
TM798,24,Male,16,Single,5,5,49801,160,21-30,151-200,0-50k
TM798,25,Male,16,Partnered,4,5,49801,120,21-30,101-150,0-50k
TM798,25,Male,16,Partnered,4,4,62251,160,21-30,151-200,51k-100k
TM798,25,Female,18,Partnered,5,5,61006,200,21-30,151-200,51k-100k
TM798,25,Male,18,Partnered,6,4,70966,180,21-30,151-200,51k-100k
TM798,25,Male,18,Partnered,6,5,75946,240,21-30,201-250,51k-100k
TM798,25,Male,20,Partnered,4,5,74701,170,21-30,151-200,51k-100k
TM798,26,Male,16,Partnered,5,4,64741,180,21-30,151-200,51k-100k
TM798,27,Male,16,Partnered,4,5,83416,160,21-30,151-200,51k-100k
TM798,27,Male,21,Partnered,4,4,90886,100,21-30,51-100,51k-100k
TM798,28,Female,18,Partnered,6,5,92131,180,21-30,151-200,51k-100k
TM798,28,Male,18,Partnered,7,5,77191,180,21-30,151-200,51k-100k
TM798,28,Male,18,Single,6,5,88396,150,21-30,101-150,51k-100k
TM798,29,Male,18,Single,5,5,52290,180,21-30,151-200,51k-100k
TM798,29,Male,14,Partnered,7,5,85906,300,21-30,251-300,51k-100k
TM798,30,Female,16,Partnered,6,5,90886,280,21-30,251-300,51k-100k
TM798,30,Male,18,Partnered,5,4,103336,160,21-30,151-200,101k - 150k
TM798,30,Male,18,Partnered,5,5,99601,150,21-30,101-150,51k-100k
TM798,31,Male,16,Partnered,6,5,89641,260,31-40,251-300,51k-100k
TM798,33,Female,18,Partnered,4,5,95866,200,31-40,151-200,51k-100k
TM798,34,Male,16,Single,5,5,92131,150,31-40,101-150,51k-100k
TM798,35,Male,16,Partnered,4,5,92131,360,31-40,351-400,51k-100k
TM798,38,Male,18,Partnered,5,5,104581,150,31-40,101-150,101k - 150k
TM798,40,Male,21,Single,6,5,83416,200,31-40,151-200,51k-100k
TM798,42,Male,18,Single,5,4,89641,200,41-50,151-200,51k-100k
TM798,45,Male,16,Single,5,5,90886,160,41-50,151-200,51k-100k
TM798,47,Male,18,Partnered,4,5,104581,120,41-50,101-150,101k - 150k
TM798,48,Male,18,Partnered,4,5,95508,180,41-50,151-200,51k-100k
